AM Condition,,,Number of deaths,,"Standardised Rate per 100,000 Persons",Lower limit of 95% CI,Upper limit of 95% CI
Total avoidable mortality,,,4263,,81.79,79.33,84.26
Ischaemic heart disease,,,708,,13.5,12.5,14.5
Colorectal cancer,,,455,,8.58,7.79,9.37
Suicide and self-inflicted injuries,,,383,,7.81,7.03,8.6
Breast cancer,,,381,,6.95,6.25,7.65
Cerebrovascular diseases,,,350,,6.43,5.75,7.1
COPD,,,256,,4.65,4.08,5.22
Accidental poisoning by and exposure to noxious substances,,,194,,4.08,3.5,4.66
Skin cancer,,,178,,3.4,2.9,3.9
Transport accidents,,,164,,3.34,2.82,3.85
Selected invasive infections,,,157,,2.99,2.52,3.46
Diabetes,,,148,,2.74,2.3,3.18
Prostate cancer,,,141,,2.69,2.25,3.14
Complications of the perinatal period,,,85,,1.95,1.53,2.36
Kidney cancer,,,101,,1.91,1.53,2.28
Falls,,,76,,1.41,1.09,1.72
Renal failure,,,58,,1.07,0.8,1.35
Heart failure,,,58,,1.06,0.78,1.33
Rheumatic and other valvular heart disease,,,49,,0.89,0.64,1.14
Event of undetermined intent,,,35,,0.71,0.47,0.95
Hypertensive heart and renal disease,,,36,,0.68,0.46,0.91
Assault,,,24,,0.5,0.3,0.7
Accidental drowning and submersion,,,24,,0.49,0.3,0.69
Asthma,,,24,,0.48,0.29,0.67
Pulmonary embolism,,,24,,0.46,0.28,0.65
Cervical cancer,,,23,,0.43,0.26,0.61
Thyroid cancer,,,17,,0.31,0.16,0.46
Exposure to inanimate mechanical forces,,,14,,0.29,0.14,0.44
Accidental exposure to other and unspecified factors,,,14,,0.27,0.13,0.41
Sequelae of external causes of morbidity and mortality,,,12,,0.23,0.1,0.37
"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",,,12,,0.23,0.1,0.35
Other accidental threats to breathing,,,10,,0.2,0.08,0.33
HIV / AIDS,,,9,,0.19,0.06,0.31
Exposure to forces of nature,,,7,,0.15,0.04,0.25
Hodgkins disease,,,7,,0.15,0.04,0.25
Pepticulcer disease,,,7,,0.13,0.03,0.22
Viral pneumonia and influenza,,,6,,0.12,0.02,0.21
Acute lymphoid leukaemia/Acute lymphoblastic leukaemia,,,5,,0.11,0.01,0.21
