AM Condition,,,Number of deaths,,"Standardised Rate per 100,000 Persons",Lower limit of 95% CI,Upper limit of 95% CI
Total avoidable mortality,,,1368,,135.02,127.85,142.18
Ischaemic heart disease,,,296,,28.73,25.46,32.01
Suicide and self-inflicted injuries,,,120,,12.9,10.59,15.21
Colorectal cancer,,,131,,12.77,10.58,14.96
Breast cancer,,,127,,12.09,9.98,14.19
COPD,,,101,,9.54,7.67,11.4
Cerebrovascular diseases,,,87,,8.35,6.59,10.1
Diabetes,,,72,,7,5.38,8.62
Prostate cancer,,,55,,5.35,3.94,6.77
Transport accidents,,,50,,5.3,3.83,6.78
Skin cancer,,,46,,4.6,3.27,5.93
Accidental poisoning by and exposure to noxious substances,,,42,,4.54,3.17,5.92
Event of undetermined intent,,,22,,2.32,1.35,3.3
Renal failure,,,22,,2.04,1.19,2.9
Kidney cancer,,,20,,1.96,1.1,2.82
Selected invasive infections,,,20,,1.91,1.07,2.75
Complications of the perinatal period,,,17,,1.79,0.94,2.64
Rheumatic and other valvular heart disease,,,16,,1.56,0.79,2.33
Falls,,,16,,1.54,0.78,2.3
Assault,,,10,,1.1,0.42,1.78
Hypertensive heart and renal disease,,,11,,1.02,0.42,1.63
Heart failure,,,10,,0.97,0.37,1.58
Asthma,,,9,,0.87,0.3,1.44
Cervical cancer,,,8,,0.77,0.24,1.31
Pulmonary embolism,,,8,,0.75,0.23,1.27
"Fires, burns",,,6,,0.66,0.13,1.19
Exposure to inanimate mechanical forces,,,6,,0.61,0.12,1.11
Accidental exposure to other and unspecified factors,,,5,,0.48,0.06,0.9
